"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Wow. I watched One Night at McCool's yesterday, and all I can say is, ""Wow.""<br /><br />Here I go. MAJOR SPOILERS.<br /><br />Would you like a summary of the plot, just to see how stupid and [[pointless]] this movie is? I would never tell anybody to watch it, unless I was out to inflict pain upon them. Anyway, here's a glimpse (or a huge chunk) of the plot.<br /><br />Randy works for a bar, McCool's. He meets up with this woman named Jewel who convinces him to, surprisingly, have sex with him. Her ex-boyfriend ends up trying to rob them and gets killed. Randy and his cousin and the detective at the scene of the crime all fall for Jewel. She, being the mascot of stupidity, uses every one of these guys to get what she wants, involving a DVD player. Randy hires a hit man to kill her, and","Wow. I watched One Night at McCool's yesterday, and all I can say is, ""Wow.""<br /><br />Here I go. MAJOR SPOILERS.<br /><br />Would you like a summary of the plot, just to see how stupid and [[fun]] this movie is? I would never tell anybody to watch it, unless I was out to inflict pain upon them. Anyway, here's a glimpse (or a huge chunk) of the plot.<br /><br />Randy works for a bar, McCool's. He meets up with this woman named Jewel who convinces him to, surprisingly, have sex with him. Her ex-boyfriend ends up trying to rob them and gets killed. Randy and his cousin and the detective at the scene of the crime all fall for Jewel. She, being the mascot of stupidity, uses every one of these guys to get what she wants, involving a DVD player. Randy hires a hit man to kill her, and",0.0017450451850891113,0.972367525100708,0,1,0,2,"Successful"
"First of all, I ain't American or Middle-Eastern. Second of all, I don't have a religion. The closest thing to a religion I have are sports and movies. Henceforth, I believe I would be best served to supply an opinion of neutrality and free from bias.<br /><br />Most of these short films are an utter [[disgrace]]. This [[dreadful]] event should be used to [[commemorated]] all those innocent people whom were murdered by ""some"" barbaric and uncivilized morons. Instead, most of what I saw in these short films were conceited attempts to score varied political points. Examples:<br /><br />1) Ken Loach's segment. Sure, we are all sad that this dude had a hard life in his country but what has that got to do with the innocent [[victims]] of 2001? Two wrongs don't make a right?! Whatever! This film should have a subtitle for those who have trouble listening to a","First of all, I ain't American or Middle-Eastern. Second of all, I don't have a religion. The closest thing to a religion I have are sports and movies. Henceforth, I believe I would be best served to supply an opinion of neutrality and free from bias.<br /><br />Most of these short films are an utter [[tragedy]]. This [[tragic]] event should be used to [[remember]] all those innocent people whom were murdered by ""some"" barbaric and uncivilized morons. Instead, most of what I saw in these short films were conceited attempts to score varied political points. Examples:<br /><br />1) Ken Loach's segment. Sure, we are all sad that this dude had a hard life in his country but what has that got to do with the innocent [[crimes]] of 2001? Two wrongs don't make a right?! Whatever! This film should have a subtitle for those who have trouble listening to a",0.002468883991241455,0.6472765207290649,0,1,0,81,"Successful"
"So many great talents were utilized in ""The Best Years of Out Lives"", the result has to be somewhat [[miraculous]]. Think of what its director, William Wyler, faced; in the aftermath of a military victory over statist powers who had committed abominable crimes and engulfed the world if battles, he was making a film that argued that the US's leaders were themselves profoundly anti-individual--that they had ""wasted the best years of the lives of those drafted or misled into fighting the war--which since it ignored the rights of individuals had been for nothing except argument over the degree of slavery men were to exist under."" There are beautiful sets by Julia Heron, Gregg Toland's cinematography and a script by Robert E. Sherwood, author of ""The Road to Rome"" and other defenses of individuals against tyrannical ideas. The ironic title was used to draw the talents of actors such as Frederic","So many great talents were utilized in ""The Best Years of Out Lives"", the result has to be somewhat [[optimistic]]. Think of what its director, William Wyler, faced; in the aftermath of a military victory over statist powers who had committed abominable crimes and engulfed the world if battles, he was making a film that argued that the US's leaders were themselves profoundly anti-individual--that they had ""wasted the best years of the lives of those drafted or misled into fighting the war--which since it ignored the rights of individuals had been for nothing except argument over the degree of slavery men were to exist under."" There are beautiful sets by Julia Heron, Gregg Toland's cinematography and a script by Robert E. Sherwood, author of ""The Road to Rome"" and other defenses of individuals against tyrannical ideas. The ironic title was used to draw the talents of actors such as Frederic",0.18129831552505493,0.5248599648475647,1,0,1,21,"Successful"
"Oh, how I laughed during those first couple of scenes. This silly little film about an 11 year-old who carries a gun, steals cars, robs stores, burglars houses, extorts money from other kids, burns houses, shoots rats, buys drugs, distributes drugs to his mother and his friends, and then kills a guy. What a great comedy! [[But]] it wasn't intended to be a comedy. It was intended as a social drama. How can this be? The events in this film are [[absurd]] and ridiculous. The characters are all stereotypes right out of a 4 year-old's comic-strip-induced immature imagination. The dialog is laughable; people talk like morons. It's a very dumb film.<br /><br />The first scenes are [[indeed]] very funny, for all the wrong reasons. But the unintentional hilarity of the idiotic premise runs out after a short while, and after that the laughs come only rarely; by that time the","Oh, how I laughed during those first couple of scenes. This silly little film about an 11 year-old who carries a gun, steals cars, robs stores, burglars houses, extorts money from other kids, burns houses, shoots rats, buys drugs, distributes drugs to his mother and his friends, and then kills a guy. What a great comedy! [[and]] it wasn't intended to be a comedy. It was intended as a social drama. How can this be? The events in this film are [[surreal]] and ridiculous. The characters are all stereotypes right out of a 4 year-old's comic-strip-induced immature imagination. The dialog is laughable; people talk like morons. It's a very dumb film.<br /><br />The first scenes are [[certainly]] very funny, for all the wrong reasons. But the unintentional hilarity of the idiotic premise runs out after a short while, and after that the laughs come only rarely; by that time the",0.004906773567199707,0.5413563251495361,0,1,0,56,"Successful"
"[[First]] of all,there is a [[detective]] [[story]]:""[[légitime]] défense"" by Belgian Stanislas André Steeman whose ""l'assassin habite au 21"" Clouzot had already transferred to the screen in 1942,with Pierre Fresnay and the same actress Suzy Delair.Steeman complained about Clouzot's adaptation for both movies.The movie from 1942 was excellent,but the ""detective [[story]]"" side had been kept,so why complaining?As for ""Quai des orfèvres"",Clouzot was now in a new phase of his brilliant career.After having directed ""le corbeau"" and been blacklisted,he had a lot more to [[say]] than a [[simple]] whodunit.Steeman complained essentially about the poor detective ending,which I will not reveal of course,but Clouzot focused on the [[social]] vignettes,on his characters's psychology,and he did not give a damn about the puzzle à la Agatha Christie.By doing so,he becomes the genuine predecessor of CLaude Chabrol who has always been closer to him than to Alfred Hitchcock whom he admires much though. Suzy Delair has","[[third]] of all,there is a [[sequel]] [[adaptation]]:""[[son]] défense"" by Belgian Stanislas André Steeman whose ""l'assassin habite au 21"" Clouzot had already transferred to the screen in 1942,with Pierre Fresnay and the same actress Suzy Delair.Steeman complained about Clouzot's adaptation for both movies.The movie from 1942 was excellent,but the ""detective [[movie]]"" side had been kept,so why complaining?As for ""Quai des orfèvres"",Clouzot was now in a new phase of his brilliant career.After having directed ""le corbeau"" and been blacklisted,he had a lot more to [[contribute]] than a [[good]] whodunit.Steeman complained essentially about the poor detective ending,which I will not reveal of course,but Clouzot focused on the [[historical]] vignettes,on his characters's psychology,and he did not give a damn about the puzzle à la Agatha Christie.By doing so,he becomes the genuine predecessor of CLaude Chabrol who has always been closer to him than to Alfred Hitchcock whom he admires much though. Suzy Delair has",0.004192948341369629,0.012301981449127197,1,1,1,100,"Failed"
"[[Wow]], what can I say about this [[film]]? It's a lousy piece of [[crap]]. I'm surprised that it got rated as [[high]] as it did. What's wrong with this film? Here's a [[better]] [[question]]: What's [[NOT]] [[wrong]] with this film.<br /><br />The story itself is just crap and cliché. Here's pretty much what it's about...Some kinda nerdy kid with no friends [[gets]] picked on, gets killed, and comes back as a scarecrow for revenge. ""All"" of that is packed into 86 minutes of worthless film. If you haven't seen this movie don't waste your time watching it. Also, the second one isn't much better, so don't bother watching that either...I rated this movie a three because I liked the scarecrow's outfit, not because there was anything good about the movie. I think you get the picture.","[[okay]], what can I say about this [[book]]? It's a lousy piece of [[work]]. I'm surprised that it got rated as [[much]] as it did. What's wrong with this film? Here's a [[good]] [[game]]: What's [[fucking]] [[best]] with this film.<br /><br />The story itself is just crap and cliché. Here's pretty much what it's about...Some kinda nerdy kid with no friends [[has]] picked on, gets killed, and comes back as a scarecrow for revenge. ""All"" of that is packed into 86 minutes of worthless film. If you haven't seen this movie don't waste your time watching it. Also, the second one isn't much better, so don't bother watching that either...I rated this movie a three because I liked the scarecrow's outfit, not because there was anything good about the movie. I think you get the picture.",0.0005597472190856934,0.0010790824890136719,0,0,0,100,"Failed"
"This movie is [[awful]], [[I]] can't even be bothered to write a review on this garbage! All i will say it is one of the most boring films I've ever seen.<br /><br />And the acting is very bad. The boy who plays the main character [[really]] [[annoys]] me, he's got the same expression on his face through out the movie. I just want to slap him! Basically 80% of the movie is slow motion shots of skateboarders, weird [[music]], and utter sh*t..<br /><br />Apparently I've got to write at least 10 lines of text to submit this comment, so I'll use up a few more lines by saying the lead character has got one of those faces you just want to slap!<br /><br />Meh i give up..THIS MOVIE [[SUCKS]] !!!!","This movie is [[great]], [[they]] can't even be bothered to write a review on this garbage! All i will say it is one of the most boring films I've ever seen.<br /><br />And the acting is very bad. The boy who plays the main character [[absolutely]] [[surprises]] me, he's got the same expression on his face through out the movie. I just want to slap him! Basically 80% of the movie is slow motion shots of skateboarders, weird [[ers]], and utter sh*t..<br /><br />Apparently I've got to write at least 10 lines of text to submit this comment, so I'll use up a few more lines by saying the lead character has got one of those faces you just want to slap!<br /><br />Meh i give up..THIS MOVIE [[shit]] !!!!",0.0005741119384765625,0.0011664032936096191,0,0,0,100,"Failed"
"This is a classic animated film from the [[cartoon]] series! Most of the major characters get alot of screen time [[plus]] do [[extra]] [[characters]] aswell! The film`s focus is on the [[superstar]] characters vacation and each one has his/her very unique [[summer]] [[fun]]! Its very [[funny]] from beginning to end! It has excellent color, great music and believe it or not I have seen this more than any movie. Its that great and in MY opinion its perfect!","This is a classic animated film from the [[disney]] series! Most of the major characters get alot of screen time [[and]] do [[odd]] [[jobs]] aswell! The film`s focus is on the [[disney]] characters vacation and each one has his/her very unique [[christmas]] [[present]]! Its very [[good]] from beginning to end! It has excellent color, great music and believe it or not I have seen this more than any movie. Its that great and in MY opinion its perfect!",0.0030843019485473633,0.003610849380493164,1,1,1,74,"Failed"
"I am not a big fan of Rajnikant in the first place, but Baba was a huge disappointment. In between an awful storyline, the action and songs were only mediocre. The storyline becomes very preachy. Instead of running for office like NTR or MGR, Rajni almost appeared to be running as Tamil Nadu's next big guru. My wife tells me that since this film came out, Rajni swore off doing any more movies!<br /><br />We were lucky initially to have bought Babu (an oldie by Sivajiganeshan) online by accident when trying to buy this one....that was a [[great]] film, which made up for having [[bought]] this dud...except it [[makes]] [[Baba]] look even [[worse]] by [[comparison]]!<br /><br />Bryan","I am not a big fan of Rajnikant in the first place, but Baba was a huge disappointment. In between an awful storyline, the action and songs were only mediocre. The storyline becomes very preachy. Instead of running for office like NTR or MGR, Rajni almost appeared to be running as Tamil Nadu's next big guru. My wife tells me that since this film came out, Rajni swore off doing any more movies!<br /><br />We were lucky initially to have bought Babu (an oldie by Sivajiganeshan) online by accident when trying to buy this one....that was a [[lovely]] film, which made up for having [[lost]] this dud...except it [[helps]] [[people]] look even [[larger]] by [[accident]]!<br /><br />Bryan",0.000962376594543457,0.024940192699432373,0,0,0,100,"Failed"
"While credited as a Tom and Jerry cartoon, this is not the cat-and-mouse team but an earlier Mutt-and-Jeff rip-off featuring them going to Africa and disguising themselves in the stereotypical burnt cork makeup to try to blend in. While the dialect humor is mostly lame, there is a brief musical sequence involving ""black skeletons"" that was entertaining. I have to ask however, how could Tom and Jerry still have their makeup stay on even after being dumped in the water a couple of times? One of many entries produced by the Van Beuren Corporation for distribution by RKO Radio Pictures before RKO made a deal with Disney. [[Only]] worth seeing if you're an animation buff or is interested in how certain ethnicities were stereotyped as entertainment way back when.","While credited as a Tom and Jerry cartoon, this is not the cat-and-mouse team but an earlier Mutt-and-Jeff rip-off featuring them going to Africa and disguising themselves in the stereotypical burnt cork makeup to try to blend in. While the dialect humor is mostly lame, there is a brief musical sequence involving ""black skeletons"" that was entertaining. I have to ask however, how could Tom and Jerry still have their makeup stay on even after being dumped in the water a couple of times? One of many entries produced by the Van Beuren Corporation for distribution by RKO Radio Pictures before RKO made a deal with Disney. [[plenty]] worth seeing if you're an animation buff or is interested in how certain ethnicities were stereotyped as entertainment way back when.",0.0023610591888427734,0.8162729740142822,0,1,0,4,"Successful"
